post_type,category,post_month,post_weekday,post_hour,paid,total_interactions,post_ratio_engaged_consumers,post_ratio_imp_reach_log,post_ratio_imp_reach_like_log,post_ratio_engaged_consumption_log
Photo,2,12,4,3,0.0,100,1.6330275229357798,1.047293494159432,1.0566887391493762,0.8484976205791077
Status,2,12,3,10,0.0,164,1.070536370315944,1.0374079099149613,1.0701795973263086,0.920613505176159
Photo,3,12,3,3,0.0,80,1.5663716814159292,1.0339908797191437,1.0546342137645537,0.7731898882334818
Photo,2,12,2,10,1.0,1777,2.7987341772151897,1.0135358982046572,1.0661708408353183,0.5918668337691168
Photo,2,12,2,3,0.0,393,1.6365853658536584,1.056604702968825,1.080533175268204,0.902048375158612
Status,2,12,1,9,0.0,186,1.1099720410065237,1.0955837704855047,1.1125242368320205,0.8616765544014343
Photo,3,12,1,3,1.0,279,1.8150943396226416,0.9805833281458791,0.9762088182082588,0.6731598396353328
Photo,3,12,7,9,1.0,339,2.314655172413793,1.0149612810411441,1.0240218074579819,0.5439211634975075
Status,2,12,7,3,0.0,192,1.0874200426439233,1.065711761379957,1.0728363459755608,0.8559460708650359
Photo,3,12,6,10,0.0,142,1.530054644808743,1.046129760074454,1.0487673515537541,0.813718063017762
Status,2,12,5,10,0.0,252,1.0385365853658537,1.0807632338779758,1.0976444643494467,0.7863487670685111
Photo,2,12,5,10,0.0,106,1.6377952755905512,1.0282872779823433,1.0253060142701302,0.6306268235786112
Photo,2,12,5,10,0.0,104,1.6782608695652175,1.0306726031658169,1.0380982624088624,0.6286086594223741
Photo,2,12,5,3,0.0,152,1.8582089552238805,1.071841540741994,1.0626760383890776,0.6513000706244448
Photo,2,12,4,5,1.0,599,2.6320474777448073,1.0127015570229208,1.0231890040975364,0.4760162191001295
Status,2,12,3,10,0.0,108,1.045492142266336,1.083925776360416,1.1054520479615952,0.8003562447741726
Photo,3,12,3,3,0.0,54,1.3252032520325203,1.0047141969573719,1.0221082859311619,0.7899344655072834
Photo,1,12,2,12,1.0,713,1.5466908431550317,1.1309817186781088,1.2017176487310024,0.8181302812035222
Status,3,12,2,3,0.0,75,1.5116279069767442,1.0683891436623665,1.1244175297048253,0.7461716488681657
Photo,3,12,1,11,0.0,42,1.375,1.0208715596191444,1.0376466670009232,0.7466879474879752
Photo,2,12,1,3,0.0,81,1.408450704225352,1.0220163494135033,1.0346283202527218,0.7756366719352087
Photo,1,12,7,10,0.0,0,1.0,1.023354997637294,1.0556074052252593,0.8472978603872036
Link,1,12,7,10,0.0,18,1.1346153846153846,1.0932902963301687,1.1073908484151658,0.8003927109135429
Photo,3,12,7,3,0.0,96,1.4915254237288136,1.0278603555936319,1.039746862954889,0.6931471805599453
Status,2,12,6,10,0.0,121,1.0559055118110237,1.0302755907037051,1.0461540782035346,0.9148827058947766
